NonCurrentAssets,CurrentAssets,TotalAssets,segment,Date
74425.00,49004.00,123429.00,Group,2011-01-01
26780.00,36857.00,63637.00,Auto,2011-01-01
258.00,482.00,740.00,Moto,2011-01-01
57245.00,25464.00,82709.00,Finance,2011-01-01
23389.00,30531.00,53920.00,Other,2011-01-01
-33247.00,-44330.00,-77577.00,Elimination,2011-01-01
"81,336",966,"131,850",Group,2012-01-01
"29,969",775,"68,791",Auto,2012-01-01
314, -,852,Moto,2012-01-01
"62,643",132,"88,697",Finance,2012-01-01
"24,868",59,"56,782",Other,2012-01-01
"-36,458", -,"-83,272",Elimination,2012-01-01
"86,194","52,174","138,368",Group,2013-01-01
"32,584","39,172","71,756",Auto,2013-01-01
334,438,772,Moto,2013-01-01
"65,352","26,978","92,330",Finance,2013-01-01
"26,451","33,788","60,239",Other,2013-01-01
"-38,527","-48,202","-86,729",Elimination,2013-01-01
"97,959","56,844","154,803",Group,2014-01-01
"36,425","42,706","79,131",Auto,2014-01-01
359,511,870,Moto,2014-01-01
"75,699","30,617","106,316",Finance,2014-01-01
"29,822","38,352","68,174",Other,2014-01-01
"-44,346","-55,342","-99,688",Elimination,2014-01-01
110343,61831,172174,Group,2015-01-01
40330,43022,83352,Auto,2015-01-01
386,592,978,Moto,2015-01-01
86396,35633,122029,Finance,2015-01-01
30425,48416,78841,Other,2015-01-01
-47194,-65832,-113026,Elimination,2015-01-01
121671,66864,188535,Group,2016-01-01
42652,46063,88715,Auto,2016-01-01
439,638,1077,Moto,2016-01-01
97306,40422,137728,Finance,2016-01-01
35749,47046,82795,Other,2016-01-01
-54475,-67305,-121780,Elimination,2016-01-01
121901,71582,193483,Group,2017-01-01
42835,51030,93865,Auto,2017-01-01
477,753,1230,Moto,2017-01-01
96766,41062,137828,Finance,2017-01-01
35008,47942,82950,Other,2017-01-01
-53185,-69205,-122390,Elimination,2017-01-01
125442,83538,208980,Group,2018-01-01
45655,51463,97118,Auto,2018-01-01
527,749,1276,Moto,2018-01-01
99153,47655,146808,Finance,2018-01-01
41340,50256,91596,Other,2018-01-01
-61233,-66585,-127818,Elimination,2018-01-01
137404,90630,228034,Group,2019-01-01
124202,84736,208938,Auto,2019-01-01
45203,51915,97118,Moto,2019-01-01
527,749,1276,Finance,2019-01-01
98339,47882,146221,Other,2019-01-01
41340,50256,91596,Elimination,2019-01-01
134851,81807,216658,Group,2020-01-01
48092,63133,111225,Auto,2020-01-01
589,913,1502,Moto,2020-01-01
100956,46661,147617,Finance,2020-01-01
50869,54364,105233,Other,2020-01-01
-65655,-83264,-148919,Elimination,2020-01-01
143354,86173,229527,Group,2021-01-01
51548,69770,121318,Auto,2021-01-01
635,759,1394,Moto,2021-01-01
107713,45724,153437,Finance,2021-01-01
46818,58775,105593,Other,2021-01-01
-63360,-88855,-152215,Elimination,2021-01-01
