Equity,NonCurrentProvisionsLiabilities,CurrentProvisionsLiabilities,TotalEquityLiabilities,segment,Date
27103.00,49113.00,47213.00,123429.00,Group,2011-01-01
26154.00,9655.00,27828.00,63637.00,Auto,2011-01-01
 -,541.00,199.00,740.00,Moto,2011-01-01
7169.00,34941.00,40599.00,82709.00,Finance,2011-01-01
6576.00,24403.00,22941.00,53920.00,Other,2011-01-01
-12796.00,-20427.00,-44354.00,-77577.00,Elimination,2011-01-01
"30,402","53,017","48,431","131,850",Group,2012-01-01
"28,105","11,166","29,520","68,791",Auto,2012-01-01
    -,410,442,852,Moto,2012-01-01
"7,631","38,867","42,199","88,697",Finance,2012-01-01
"8,361","25,141","23,280","56,782",Other,2012-01-01
"-13,695","-22,567","-47,010","-83,272",Elimination,2012-01-01
"35,643","52,682","50,043","138,368",Group,2013-01-01
"30,909","10,273","30,574","71,756",Auto,2013-01-01
-,488,284,772,Moto,2013-01-01
"8,407","40,023","43,900","92,330",Finance,2013-01-01
"10,805","25,784","23,650","60,239",Other,2013-01-01
"-14,478","-23,886","-48,365","-86,729",Elimination,2013-01-01
"37,437","58,288","59,078","154,803",Group,2014-01-01
"31,045","14,317","33,769","79,131",Auto,2014-01-01
  -,595,275,870,Moto,2014-01-01
"9,357","43,801","53,158","106,316",Finance,2014-01-01
"12,031","28,755","27,388","68,174",Other,2014-01-01
"-14,996","-29,180","-55,512","-99,688",Elimination,2014-01-01
42764,63819,65591,172174,Group,2015-01-01
33460,14506,35386,83352,Auto,2015-01-01
0,582,396,978,Moto,2015-01-01
9948,46169,65912,122029,Finance,2015-01-01
15225,33495,30121,78841,Other,2015-01-01
-15869,-30933,-66224,-113026,Elimination,2015-01-01
47363,73183,67989,188535,Group,2016-01-01
36624,16693,35398,88715,Auto,2016-01-01
0,628,449,1077,Moto,2016-01-01
11049,54316,72363,137728,Finance,2016-01-01
16744,38506,27545,82795,Other,2016-01-01
-17054,-36960,-67766,-121780,Elimination,2016-01-01
54548,69888,69047,193483,Group,2017-01-01
39441,16456,37968,93865,Auto,2017-01-01
0,657,573,1230,Moto,2017-01-01
14740,51384,71704,137828,Finance,2017-01-01
18102,36037,28811,82950,Other,2017-01-01
-17735,-34646,-70009,-122390,Elimination,2017-01-01
58088,79983,70909,208980,Group,2018-01-01
39778,17034,40306,97118,Auto,2018-01-01
0,640,636,1276,Moto,2018-01-01
14919,60506,71383,146808,Finance,2018-01-01
20683,45942,24971,91596,Other,2018-01-01
-17292,-44139,-66387,-127818,Elimination,2018-01-01
59907,85502,82625,228034,Group,2019-01-01
57829,79698,71411,208938,Auto,2019-01-01
39778,17034,40306,97118,Moto,2019-01-01
0,640,636,1276,Finance,2019-01-01
14806,60234,71181,146221,Other,2019-01-01
20683,45942,24971,91596,Elimination,2019-01-01
61520,83175,71963,216658,Group,2020-01-01
41117,19519,50589,111225,Auto,2020-01-01
0,705,797,1502,Moto,2020-01-01
15555,63243,68819,147617,Finance,2020-01-01
21389,49015,34829,105233,Other,2020-01-01
-16541,-49307,-83071,-148919,Elimination,2020-01-01
75132,77929,76466,229527,Group,2021-01-01
50296,18518,52504,121318,Auto,2021-01-01
-,667,727,1394,Moto,2021-01-01
17324,62525,73588,153437,Finance,2021-01-01
25264,41873,38456,105593,Other,2021-01-01
-17752,-45654,-88809,-152215,Elimination,2021-01-01
