Revenues,CostOfSales,GrossProfit,ProfitLossBeforeFinancialResult,FinancialResult,ProfitLossBeforeTax,IncomeTaxes,NetProfitLoss,segment,Date
68821.00,-54276.00,14545.00,8018.00,-635.00,7383.00,-2476.00,4907.00,Group,2011-01-01
63229.00,-50164.00,13065.00,7477.00,-654.00,6823.00,-1832.00,4991.00,Auto,2011-01-01
1436.00,-1207.00,229.00,45.00,-4.00,41.00,-12.00,29.00,Moto,2011-01-01
17510.00,-15013.00,2497.00,1763.00,27.00,1790.00,-1053.00,737.00,Finance,2011-01-01
5.00,  –,5.00,-19.00,-149.00,-168.00,37.00,-131.00,Other,2011-01-01
-13359.00,12108.00,-1251.00,-1248.00,145.00,-1103.00,384.00,-719.00,Elimination,2011-01-01
"76,848","-61,354","15,494","8,300",-481,"7,819","-2,697","5,122",Group,2012-01-01
"70,208","-56,525","13,683","7,624",-429,"7,195","-2,458","4,737",Auto,2012-01-01
"1,490","-1,236",254,9,-3,6,-22,-16,Moto,2012-01-01
"19,550","-16,984","2,566","1,558",3,"1,561",-545,"1,016",Finance,2012-01-01
5,-,5,58,-64,-6, 5,-1,Other,2012-01-01
"-14,405","13,391","-1,014",-949,12,-937,323,-614,Elimination,2012-01-01
"76,058","-60,784","15,274","7,986",-73,"7,913","-2,573","5,340",Group,2013-01-01
"70,629","-57,771","12,858","6,657",-96,"6,561","-2,153","4,408",Auto,2013-01-01
"1,504","-1,253",251,79,-3,76,-25,51,Moto,2013-01-01
"19,874","-17,270","2,604","1,643",-4,"1,639",-527,"1,112",Finance,2013-01-01
6,-,6,44,120,164,-68,96,Other,2013-01-01
"-15,955","15,510",-445,-437,-90,-527,200,-327,Elimination,2013-01-01
"80,401","-63,396","17,005","9,118",-411,"8,707","-2,890","5,817",Group,2014-01-01
"75,173","-61,221","13,952","7,244",-358,"6,886","-2,365","4,521",Auto,2014-01-01
"1,679","-1,365",314,112, -5,107,-34, 73,Moto,2014-01-01
"20,599","-17,783","2,816","1,756",-33,"1,723",-525,"1,198",Finance,2014-01-01
7,-,  7, 71, 83,154,-49,105,Other,2014-01-01
"-17,057","16,973",-84,-65,-98,-163,83,-80,Elimination,2014-01-01
92175,-74043,18132,9593,-369,9224,-2828,6396,Group,2015-01-01
85536,-70399,15137,7836,-313,7523,-2376,5147,Auto,2015-01-01
1990,-1542,448,182,-3,179,-55,124,Moto,2015-01-01
23739,-20586,3153,1981,-6,1975,-528,1447,Finance,2015-01-01
7,0,  7,169, 42,211,-73,138,Other,2015-01-01
-19097,18484,-613,-575,-89,-664,204,-460,Elimination,2015-01-01
94163,-75442,18721,9386,279,9665,-2755,6910,Group,2016-01-01
86424,-70973,15451,7695,221,7916,-2475,5441,Auto,2016-01-01
2069,-1639,430,187,-2,185,-53,132,Moto,2016-01-01
25681,-22135,3546,2184,-18,2166,-389,1777,Finance,2016-01-01
6,0,6,-17,187,170,-49,121,Other,2016-01-01
-20017,19305,-712,-663,-109,-772,211,-561,Elimination,2016-01-01
98678,-78744,19934,9880,775,10655,-1949,8706,Group,2017-01-01
88581,-72266,16315,7863,828,8691,-3415,5276,Auto,2017-01-01
2283,-1809,474,207,-2,205,-63,142,Moto,2017-01-01
27567,-23986,3581,2194,13,2207,1840,4047,Finance,2017-01-01
7,0,7,14,66,80,-19,61,Other,2017-01-01
-19760,19317,-443,-398,-130,-528,-292,-820,Elimination,2017-01-01
97480,-78924,18556,9121,694,9815,-2575,7207,Group,2018-01-01
85846,-71918,13928,6182,795,6977,-1853,5091,Auto,2018-01-01
2173,-1738,435,175,-6,169,-45,124,Moto,2018-01-01
28165,-24541,3624,2190,-29,2161,-508,1653,Finance,2018-01-01
6,0,6,-27,-18,-45,-36,-81,Other,2018-01-01
-18710,19273,563,601,-48,553,-133,420,Elimination,2018-01-01
104210,-86147,18063,7411,-293,7118,-2140,5022,Group,2019-01-01
91682,-78062,13620,4499,-32,4467,-1354,3157,Auto,2019-01-01
2368,-1911,457,194,-7,187,-56,131,Moto,2019-01-01
29598,-25938,3660,2312,-40,2272,-672,1600,Finance,2019-01-01
5,0,5,29,-125,-96,29,-67,Other,2019-01-01
-19443,19764,321,377,-89,288,-87,201,Elimination,2019-01-01
98990,-85408,13582,4830,392,5222,-1365,3857,Group,2020-01-01
80853,-71456,9397,2162,560,2722,-713,2009,Auto,2020-01-01
2284,-1941,343,103,-3,100,-26,74,Moto,2020-01-01
30044,-26958,3086,1721,4,1725,-456,1269,Finance,2020-01-01
3,0,3,36,-271,-235,62,-173,Other,2020-01-01
-14194,14947,753,808,102,910,-232,678,Elimination,2020-01-01
111239,-89253,21986,13400,2660,16060,-3597,12463,Group,2021-01-01
95476,-78637,16839,9870,1935,11805,-2645,9160,Auto,2021-01-01
2748,-2259,489,227,1,228,-51,177,Moto,2021-01-01
32867,-27749,5118,3701,52,3753,-838,2915,Finance,2021-01-01
5,0,5,-8,539,531,-119,412,Other,2021-01-01
-19857,19392,-465,-390,133,-257,56,-201,Elimination,2021-01-01
